event_id,source_id,kind,geocent_time,ra,dec,sky_area_90_deg2,network_snr,family,tag,pair_id,source_index
4736,1736,PM,1159431102.891494,2.601979857356888,0.2741086046268855,205.48123804371636,8.371343433586786,PM,L1,1736,3784
4737,1737,PM,1155861725.3322244,2.07415662671624,-0.0087936104583863,37.35899479208033,19.632863852741547,PM,L1,1737,9089
4738,1738,PM,1230670300.1874506,0.1756797545843734,-0.9222196664209348,1555.3258161967865,3.0427800187828336,PM,L1,1738,4513
4739,1739,PM,1371187971.413909,4.477991417818535,1.096451716467893,24.68349386526517,24.15338087058162,PM,L1,1739,6039
4740,1740,PM,1145114575.1607032,3.190099151798593,0.886071055552307,260.0970686728917,7.440695246480643,PM,L1,1740,7608
4741,1741,PM,1146242029.961749,5.277754607089237,-1.1017169676416707,87.15787662149313,12.853693074132222,PM,L1,1741,9598
4742,1742,PM,1160402707.8537135,0.4970121262401732,-0.0756528433717719,296.379454352965,6.970391942126498,PM,L1,1742,1359
4743,1743,PM,1169880366.6770344,0.4391921007243912,-0.079324929665865,2000.0,2.577463085318365,PM,L1,1743,679
4744,1744,PM,1151494261.7240627,3.50945904084319,-1.3102501653333671,115.72924210207472,11.15474615302855,PM,L1,1744,5712
4745,1745,PM,1173985153.417481,6.128091209549343,1.101133701891096,97.11248879091727,12.177095271159766,PM,L1,1745,615
4746,1746,PM,1253743001.357764,1.1089318286404903,1.0049506905565395,387.27041946236966,6.097812736708447,PM,L1,1746,9794
4747,1747,PM,1194601487.174856,0.5939775312460994,-0.0520968414252117,1515.0290219292956,3.0829804439873736,PM,L1,1747,2712
4748,1748,PM,1135604800.7603805,3.918448203345692,-0.4154808645167931,91.3989487328741,12.55193396496266,PM,L1,1748,5300
4749,1749,PM,1298398247.0863082,5.318523662450619,-0.0724773742434461,143.33724514404963,10.023092062323656,PM,L1,1749,1559
4750,1750,PM,1402662233.1516118,6.249377369728164,-1.1745718045902296,31.84718718919793,21.264036338239872,PM,L1,1750,9281
4751,1751,PM,1355636662.639626,3.2143428597547,1.181551435703792,421.25003789429735,5.8467061826337,PM,L1,1751,6097
4752,1752,PM,1442023789.4028642,1.3958048197451118,1.1346773916623547,260.8956345783619,7.429299043275829,PM,L1,1752,5107
4753,1753,PM,1370483937.1651175,3.392785958333214,1.0940748231201085,32.29086661197917,21.11744616642624,PM,L1,1753,3902
4754,1754,PM,1230014978.3664973,1.6983392215020927,1.104263280320088,76.90292812118726,13.683897360451404,PM,L1,1754,6807
4755,1755,PM,1139539323.3251412,6.281476951350295,0.1780441489142872,1881.9329152945284,2.766171974484096,PM,L1,1755,5006
4756,1756,PM,1127316513.1007082,0.8749700805026602,-0.48235308387267,332.01835166445596,6.585673586728129,PM,L1,1756,7417
4757,1757,PM,1349705769.3738215,0.6502694622273593,1.342545823482897,938.1873359143528,3.917747686956712,PM,L1,1757,8169
4758,1758,PM,1226313139.517728,5.368622861024606,-0.4254922684118374,41.144879071677344,18.707827249820177,PM,L1,1758,9236
4759,1759,PM,1337250188.9095714,4.037347311008825,1.3085413846757552,59.31284081099143,15.5814145903494,PM,L1,1759,3706
4760,1760,PM,1156430831.3422194,1.3383202140318944,-1.1216057301354148,185.12078345714284,8.819696817411064,PM,L1,1760,8018
4761,1761,PM,1208851562.5385416,3.010644359108777,-0.8529406015174371,211.86368618537642,8.244284758175768,PM,L1,1761,9689
4762,1762,PM,1370786629.0837047,0.6867760024815792,1.1489338859457634,27.445009344840138,22.906015726324625,PM,L1,1762,7302
4763,1763,PM,1307245123.416895,4.365158623715596,0.8328483211686216,61.106983331641516,15.3509700306956,PM,L1,1763,4313
4764,1764,PM,1222952734.3104715,0.973185867155984,-0.4894824523441036,404.8616568531976,5.96386661968459,PM,L1,1764,3544
4765,1765,PM,1263497256.4273655,3.3172096042988835,-1.048233430587349,237.00266405688794,7.794793820012544,PM,L1,1765,7151
4766,1766,PM,1304491735.0701292,4.843820042466128,-0.893549449097162,53.62868344684577,16.386367036174324,PM,L1,1766,2472
4767,1767,PM,1268587177.4611585,2.092292186817507,-0.1828709092892104,97.01570568430911,12.183167707164513,PM,L1,1767,4289
4768,1768,PM,1307834523.4343903,0.9053140078895888,-0.4191838380695317,1623.5496753799514,2.978162943132327,PM,L1,1768,5122
4769,1769,PM,1424612765.3222427,2.505486635957957,-0.2357310887684597,743.7149107492082,4.400256586426557,PM,L1,1769,6985
4770,1770,PM,1306369702.6584694,1.246011241445343,0.3612254693700306,208.92646300291875,8.302034237155723,PM,L1,1770,8795
4771,1771,PM,1429794165.6012764,0.8452447071632067,-0.5023333824360068,215.01979215622694,8.183555407413861,PM,L1,1771,8797
4772,1772,PM,1175168965.392166,1.980578910661579,-0.5852412387938308,38.588360289321976,19.31759619970187,PM,L1,1772,1033
4773,1773,PM,1271280731.2888956,5.2738412730319215,-0.2369178032953329,258.8422551694503,7.458708913978191,PM,L1,1773,3100
4774,1774,PM,1148981804.7678685,3.237548122524538,0.346573117576626,1569.699777578739,3.0288163965043178,PM,L1,1774,5047
4775,1775,PM,1353574559.8811047,6.218438424465937,-0.1845262889223312,725.7238917041291,4.45446484339211,PM,L1,1775,5850
4776,1776,PM,1330547100.673367,5.058439744669592,-0.0955692486599672,126.56008251550742,10.666768540723648,PM,L1,1776,3253
4777,1777,PM,1148572603.456058,0.1925958557269516,0.5442749815786635,193.35555087930948,8.62984357732745,PM,L1,1777,4943
4778,1778,PM,1350645846.558545,3.0242519664733623,-1.490215750188895,229.19629589786763,7.926426716897112,PM,L1,1778,6162
4779,1779,PM,1226302406.2761214,1.7472244348081791,0.7138747610736701,10.0,41.81571255043903,PM,L1,1779,8792
4780,1780,PM,1317910495.4961188,1.013230343632185,-0.6619320256015896,2000.0,1.7170108342349326,PM,L1,1780,7052
4781,1781,PM,1423925831.829353,2.398725504925774,-0.3254345106507824,128.1333227961475,10.601082194060352,PM,L1,1781,4314
4782,1782,PM,1428195967.0913136,5.407315477163859,-1.3387173658741955,179.9329144232467,8.945939130595312,PM,L1,1782,6116
4783,1783,PM,1418037216.7005572,0.6792397563481944,-0.6702427143550763,51.00311658441744,16.802847609384994,PM,L1,1783,35
4784,1784,PM,1227083598.5101748,4.212952922413452,-1.2631804972116818,376.44892859722506,6.184836358359805,PM,L1,1784,5174
4785,1785,PM,1185924046.4114437,6.216681545734808,-0.2857058949418283,73.8918184793532,13.959924474993588,PM,L1,1785,629
4786,1786,PM,1296206951.249888,1.726475793403232,-0.583182515654551,2000.0,1.1026104116674718,PM,L1,1786,5178
4787,1787,PM,1365758202.0344834,2.342753366743401,-0.2274135049744984,108.44704568360439,11.523180992460082,PM,L1,1787,4266
