detector,data_mode,family,seed,target_lensed_event_fraction,val_auc_sampled,full_waveform_r@1,full_waveform_r@5,full_waveform_r@10,test_pair_count,test_unlensed_count,test_catalog_size,test_lensed_event_fraction,sub_waveform_r@1,sub_waveform_r@5,sub_waveform_r@10,sub_waveform_r@50,sub_waveform_median_rank,valid,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_median_rank
ET,noisy,SIS,7,0.1,0.999994338800987,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5662650602409639,0.6746987951807228,0.7228915662650602,0.8493975903614458,1.0,166,0.8614457831325302,0.963855421686747,0.963855421686747,0.963855421686747,1.0
ET,noisy,SIS,8,0.1,0.9999618231964001,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5060240963855421,0.6566265060240963,0.7108433734939759,0.8253012048192772,1.0,166,0.8072289156626506,0.9337349397590361,0.963855421686747,0.9759036144578314,1.0
ET,noisy,SIS,9,0.1,0.9999910364348962,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5180722891566265,0.6746987951807228,0.7530120481927711,0.8493975903614458,1.0,166,0.8734939759036144,0.927710843373494,0.9457831325301205,0.9698795180722891,1.0
ET,noisy,PM,0,0.1,0.9999999637102627,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3614457831325301,0.5120481927710844,0.5903614457831325,0.8012048192771084,5.0,166,0.9819277108433735,1.0,1.0,1.0,1.0
ET,noisy,PM,1,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3072289156626506,0.4939759036144578,0.572289156626506,0.7831325301204819,6.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,PM,2,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3493975903614458,0.5783132530120482,0.6626506024096386,0.7771084337349398,3.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,PM,3,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3493975903614458,0.536144578313253,0.6024096385542169,0.7590361445783133,3.0,166,0.9819277108433735,1.0,1.0,1.0,1.0
ET,noisy,PM,4,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3493975903614458,0.5240963855421686,0.6385542168674698,0.8012048192771084,5.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,PM,5,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.4397590361445783,0.6746987951807228,0.7289156626506024,0.7951807228915663,2.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,PM,6,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3132530120481928,0.4879518072289157,0.608433734939759,0.7349397590361446,6.0,166,0.9879518072289156,1.0,1.0,1.0,1.0
ET,noisy,PM,7,0.1,0.9999981855131368,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.41566265060240964,0.5481927710843374,0.6566265060240963,0.7530120481927711,3.5,166,0.9939759036144579,1.0,1.0,1.0,1.0
ET,noisy,PM,8,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.45180722891566266,0.572289156626506,0.6506024096385542,0.8132530120481928,2.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,PM,9,0.1,1.0,0.304,0.463,0.5406666666666666,83,1500,1666,0.09963985594237695,0.3493975903614458,0.4397590361445783,0.5,0.6807228915662651,10.5,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,pure,SIS,0,0.1,0.9999999999999999,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9518072289156626,0.9819277108433735,0.9879518072289156,1.0,1.0,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,pure,SIS,1,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9939759036144579,1.0,1.0,1.0,1.0,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,pure,SIS,2,0.1,0.9969842865437654,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9518072289156626,0.9819277108433735,0.9879518072289156,0.9879518072289156,1.0,166,0.9759036144578314,1.0,1.0,1.0,1.0
LIGO,pure,SIS,3,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9518072289156626,0.9698795180722891,0.9879518072289156,1.0,1.0,166,0.9879518072289156,0.9939759036144579,0.9939759036144579,1.0,1.0
LIGO,pure,SIS,4,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9698795180722891,1.0,1.0,1.0,1.0,166,0.9819277108433735,1.0,1.0,1.0,1.0
