event_name,catalog,gps_trigger_time,ra_median,dec_median,sky_area_90_deg2,network_snr,chirp_mass_median,mass_ratio_median,luminosity_distance_median,p_astro,mass_1_source,mass_2_source,pe_h5_file,sky_area_source,skymap_stats_file
GW190707_093326,GWTC-2.1-confident,1246527224.1,3.5903193178493096,-0.26844443,1156.8455158838658,13.1,8.446038397154421,0.6601995648364513,851.8189900091514,1.0,12.1,7.9,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_skymap_stats.txt
GW190708_232457,GWTC-2.1-confident,1246663515.3,2.9403211333847987,0.29891015,11032.346389224274,13.4,13.054262021439378,0.5848068701266937,927.7875671557227,0.99965,19.8,11.6,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_skymap_stats.txt
GW190720_000836,GWTC-2.1-confident,1247616534.7,5.310578625771861,0.6300765443829892,256.19780482349955,10.9,8.954885694050015,0.5289067062846668,773.408505460481,1.0,14.2,7.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_skymap_stats.txt
GW190725_174728,GWTC-2.1-confident,1248112066.4,5.172027594432569,-0.10186359903111841,2155.878077585793,9.1,7.447446141426087,0.5328657359565097,1026.0465908829226,0.96021,11.8,6.3,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_skymap_stats.txt
GW190727_060333,GWTC-2.1-confident,1248242631.9,1.5626078459468884,-0.72379788,381.4940230394755,11.7,29.397003327912344,0.7914635357764233,3071.91298417454,1.0,38.9,30.2,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_skymap_stats.txt
GW190728_064510,GWTC-2.1-confident,1248331528.5,5.900289244131925,0.13885595987062538,399.7494021112752,13.1,8.628077048504647,0.6442826475346338,877.955984462819,1.0,12.5,8.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_skymap_stats.txt
GW190803_022701,GWTC-2.1-confident,1248834439.8,2.279891096353679,0.6572696197542578,1003.5834923497944,9.3,27.58931699211786,0.753645758939969,3188.6345114188807,0.97383,37.7,27.6,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_skymap_stats.txt
GW190828_063405,GWTC-2.1-confident,1251009263.7,2.5240455965683797,-0.40131217520486895,339.82662675291056,16.5,24.599523222903972,0.823439697008132,2074.327430924111,1.0,31.9,25.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_skymap_stats.txt
GW190828_065509,GWTC-2.1-confident,1251010527.8,2.41211197444779,-0.7068239882079617,593.243163709539,10.2,13.388275144639332,0.44106803033980124,1545.441897530567,0.99998,23.7,10.4,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_skymap_stats.txt
GW190910_112807,GWTC-2.1-confident,1252150105.3,2.051591577375763,0.0053360474,9647.91954616802,14.5,33.48270838815776,0.7905107376041638,1517.1381,0.99669,43.8,34.2,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_skymap_stats.txt
GW190915_235702,GWTC-2.1-confident,1252627040.6,3.3828290497011952,0.6718619467489032,449.2219538169245,13.1,24.366994310194897,0.7603332552846627,1747.0489285284652,1.0,32.6,24.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_skymap_stats.txt
